word,valence
poussière,3.08
poussin,6.47
pré,6.84
présent,6.58
prestige,7.12
prise,3.92
prix,3.72
profond,5.32
propre,7.45
prune,5.11
puissance,6.35
puits,4.11
pullover,5.82
pur,7.31
puzzle,4.78
pyjama,6.15
qualité,7.71
quatre,5.27
quiche,6.62
quille,4.59
quinze,5.3
racisme,1.36
radio,6.44
rage,3.27
rail,4.72
raisin,6.34
rame,4.57
rampe,5.0
rang,4.19
rapide,6.43
raquette,5.03
rasoir,4.33
rat,3.97
râteau,4.38
règle,3.89
regret,2.3
reine,6.0
religion,4.16
remord,2.0
renard,5.71
renne,5.77
repos,7.73
république,5.84
requin,4.43
reste,4.7
rêve,8.05
réveil,3.27
revolver,3.39
rhinocéros,5.34
riche,7.03
richesse,7.39
rideau,5.19
rien,4.51
rire,8.48
rivière,6.8
robe,7.08
robinet,5.16
robot,5.3
rond,5.36
ronde,4.86
rose,6.86
roue,5.24
rouge,5.82
route,5.46
royaume,5.72
ruche,4.41
rue,4.96
rugueux,3.44
sabot,4.59
sage,7.27
salade,5.9
sale,2.08
salière,4.76
salle,4.88
salopette,5.08
sandale,5.77
sandwich,7.38
sang,4.47
sanglier,4.98
santé,7.08
sapin,7.16
satire,3.47
saucisson,6.65
sauterelle,4.65
sauvetage,7.53
savon,6.21
scie,4.35
seau,4.89
sécurité,5.76
sein,6.74
seize,5.3
sel,5.28
selle,4.65
senteur,6.62
serpent,5.08
serrure,4.55
serviette,5.15
seul,2.34
siècle,5.29
sieste,6.92
sifflet,4.24
silence,5.71
singe,6.32
sirène,5.65
ski,7.03
soeur,6.81
soif,4.16
soin,6.05
sol,4.78
soleil,7.95
sombre,2.86
sommeil,7.25
son,7.63
songe,6.51
sort,5.19
sou,7.16
souffle,5.92
souffrance,2.05
soupe,5.73
souplesse,6.89
sourcil,4.94
souris,4.97
souvenir,7.21
spaghetti,7.54
sport,6.73
squelette,3.62
stabilité,6.75
steak,6.54
stop,3.86
stylo,4.92
sucre,6.69
sueur,2.7
supercherie,3.32
sére,6.95
surprise,7.6
table,5.51
tableau,5.58
tabouret,4.81
taille,5.35
talon,6.27
tambour,5.0
tambourin,5.49
tampon,4.08
tante,5.84
tapis,5.35
tarte,7.54
tartine,6.7
tasse,5.76
taupe,4.84
taureau,5.54
téléphone,6.61
télévision,6.19
témérité,4.35
temps,5.89
tendance,5.45
tendresse,8.0
tennis,5.59
tente,6.3
terre,5.76
tétine,6.08
théorie,4.96
thermomètre,4.35
thon,5.35
tigre,7.32
timbre,5.24
tirelire,6.32
tiret,4.81
titre,5.22
toilette,4.57
toit,5.32
tomate,5.08
tondeuse,4.24
tonneau,4.87
torchon,4.43
tortue,5.54
touche,4.97
toupie,5.35
tournevis,4.81
tracteur,4.3
trahison,1.52
train,5.32
trait,4.8
traître,1.52
tranquille,7.43
transport,5.01
travail,4.17
trèfle,6.78
trente,5.14
triangle,5.05
tristesse,2.08
troc,5.8
tromperie,1.73
trompette,5.78
tronc,4.97
trou,4.68
trousse,4.76
truc,5.38
tulipe,6.99
tunnel,4.08
tuyau,4.92
uni,7.19
usine,3.18
usure,2.92
vache,5.53
vague,6.86
vainqueur,7.64
vaisselle,3.81
valeur,6.89
valise,6.7
vase,4.95
vaste,5.9
vélo,6.86
vénéneux,2.33
vent,3.82
vérité,7.58
verre,5.54
vert,6.04
vertige,3.01
vertu,6.96
veste,5.68
vêtement,6.82
viande,6.59
victoire,8.21
vie,7.78
vieux,4.03
vin,5.7
vingt,5.82
violon,5.47
vis,4.11
vitesse,7.03
vitre,4.84
voile,5.35
voilier,6.45
voiture,6.81
vol,3.43
volant,6.16
volcan,5.5
vote,6.25
voyage,8.3
vrai,7.06
wagon,4.76
yoyo,5.84
zèbre,6.86
zoo,6.84
